frödenplatz;60200365;16.3586537;48.1553047
frömmlgasse;60200366;16.3921249;48.2562495
fröschelgasse;60200367;16.3209514;48.251973
flurschützstraße längenfeldgasse;60200368;16.3400676;48.1793541
fultonstraße;60200369;16.4145469;48.253241
funkengerngasse;60200370;16.2936516;48.2153951
seegasse;60200371;16.3614115;48.2229725
ottakringer friedhof;60200372;16.3015208;48.2140782
kaltenleutgebner straße 10 63;60200373;16.2463194;48.1318256
kaltenleutgeber straße 137;60200374;16.2329075;48.1291215
salvigasse;60200375;16.4335013;48.2964439
gatterburggasse;60200376;16.3491405;48.2395898
gattergasse;60200377;16.422461;48.1608417
gatterhölzl;60200378;16.3187595;48.1758798
gaudenzdorfer gürtel;60200379;16.3430949;48.1872423
gaußplatz;60200380;16.3699096;48.226282
gaßmannstraße;60200381;16.3130642;48.1742623
geiereckstraße;60200382;16.3996259;48.1750351
geistingergasse;60200383;16.3628129;48.2455365
gellertplatz;60200384;16.3826387;48.1750112
gemeindeberggasse;60200385;16.2645372;48.1812169
opelwerk;60200386;16.5031297;48.2177115
genochplatz;60200387;16.4559323;48.229322
brünner straße hanreitergasse;60200388;16.4130108;48.2841432
gerhardusgasse;60200389;16.3662534;48.2316977
geringergasse;60200390;16.4259645;48.1680018
gernotgasse;60200391;16.5330436;48.2197405
geroldgasse;60200392;16.2835366;48.2391231
gersthof;60200393;16.3291171;48.2311591
ehrenpreisgasse;60200394;16.4612772;48.2180228
gersthofer friedhof;60200395;16.3165407;48.2299743
getreidemarkt;60200396;16.3629297;48.2018116
geusaugasse;60200397;16.3945414;48.2041286
zippererstraße;60200399;16.4111243;48.1794978
heinrich drimmel platz;60200400;16.3911188;48.187949
ghelengasse;60200401;16.2595066;48.1803005
gladiolenweg;60200403;16.4790549;48.2375496
glanzing;60200404;16.3217509;48.2431854
glatzgasse;60200405;16.353174;48.2333492
glawatschweg;60200406;16.2661901;48.1636759
glockengasse;60200407;16.3818752;48.2177953
gloriettegasse;60200408;16.2920616;48.1829959
glossystraße;60200409;16.2360786;48.2123782
gobergasse;60200410;16.2687952;48.1792163
goethehof;60200411;16.4190385;48.2294896
gogolgasse;60200412;16.2766375;48.182367
goldhammergasse;60200413;16.322757;48.1443067
gotthelfgasse;60200414;16.4726858;48.2272754
graben petersplatz;60200415;16.3695682;48.2091575
graf seilern gasse;60200416;16.3087613;48.1710872
grasbergergasse;60200417;16.4004254;48.1861942
grasgasse;60200418;16.282243;48.2298905
gredlerstraße;60200419;16.3798719;48.2140064
gregor mendel straße;60200420;16.3377769;48.234139
gregorygasse;60200421;16.3054465;48.1572523
eßling, schippanisiedlung;60200422;16.5442995;48.2193754
greutberggasse;60200423;16.2051586;48.2278798
griegstraße;60200424;16.3753354;48.2493829
enkplatz;60200425;16.4153104;48.1743402
grinzing;60200426;16.3421516;48.25549
am bahnhof;60200427;16.4510903;48.223948
grinzinger straße;60200428;16.3653641;48.2547543
lange allee;60200429;16.4445237;48.2273772
großer biberhaufen;60200430;16.4733775;48.2022067
großjedlersdorf;60200431;16.4085731;48.2765031
großmarktstraße;60200432;16.367008;48.1465245
gruschaplatz;60200434;16.2826383;48.1953927
gräßlplatz;60200435;16.3973621;48.1768382
gumpendorfer straße;60200436;16.3375613;48.1907278
grenzgasse;60200437;16.329683;48.1932849
guneschgasse;60200438;16.3535513;48.2365324
gunoldstraße;60200439;16.361708;48.2446571
guntherstraße;60200440;16.3267635;48.2023744
eßling, stadtgrenze;60200441;16.5399427;48.2084451
gusenleithnergasse;60200442;16.2900583;48.1946502
gustav pick gasse;60200443;16.3262605;48.2419769
gutheil schoder gasse;60200444;16.3358455;48.1594575
gutraterplatz;60200445;16.3093452;48.2077207
gußhausstraße;60200446;16.3751558;48.1978119
gußriegelstraße;60200447;16.3588334;48.1663302
gymnasiumstraße;60200448;16.3447478;48.2300102
günselgasse;60200449;16.2551049;48.2167957
dornbach;60200450;16.3077192;48.2263658
gütenbachstraße;60200451;16.2413427;48.1380725
lusthaus;60200453;16.4398434;48.1910931
